episode_id,backend,model,persona,status,parse_ok,valid_raw_ranked,valid_repaired_ranked,n_expected,n_raw_ranked,n_repaired_ranked,n_duplicates,n_missing,duplicates,missing,repaired_admitted_ids,repaired_ranked_ids
E00001,ollama,llama3.2:latest,none,ok,0,0,1,12,12,12,1,1,"[""P000132""]","[""P000134""]","[""P000132"", ""P000213"", ""P000122"", ""P000192""]","[""P000132"", ""P000213"", ""P000122"", ""P000192"", ""P000071"", ""P000166"", ""P000039"", ""P000143"", ""P000131"", ""P000076"", ""P000022"", ""P000134""]"
E00001,ollama,llama3.2:latest,social_worker,ok,0,1,1,12,12,12,0,0,[],[],"[""P000039"", ""P000143"", ""P000131"", ""P000076""]","[""P000039"", ""P000143"", ""P000131"", ""P000076"", ""P000132"", ""P000122"", ""P000213"", ""P000192"", ""P000134"", ""P000071"", ""P000166"", ""P000022""]"
E00001,ollama,llama3.2:latest,revenue,ok,0,1,1,12,12,12,0,0,[],[],"[""P000039"", ""P000143"", ""P000131"", ""P000076""]","[""P000039"", ""P000143"", ""P000131"", ""P000076"", ""P000132"", ""P000122"", ""P000213"", ""P000192"", ""P000134"", ""P000071"", ""P000166"", ""P000022""]"
E00001,ollama,llama3.2:latest,psychiatry,ok,0,0,1,12,12,12,1,1,"[""P000132""]","[""P000022""]","[""P000039"", ""P000143"", ""P000131"", ""P000132""]","[""P000039"", ""P000143"", ""P000131"", ""P000132"", ""P000122"", ""P000213"", ""P000192"", ""P000134"", ""P000076"", ""P000166"", ""P000071"", ""P000022""]"
E00002,ollama,llama3.2:latest,none,ok,0,1,1,12,12,12,0,0,[],[],"[""P000095"", ""P000085"", ""P000035"", ""P000185""]","[""P000095"", ""P000085"", ""P000035"", ""P000185"", ""P000151"", ""P000050"", ""P000077"", ""P000019"", ""P000170"", ""P000067"", ""P000099"", ""P000025""]"
E00002,ollama,llama3.2:latest,social_worker,ok,0,1,1,12,12,12,0,0,[],[],"[""P000035"", ""P000099"", ""P000085"", ""P000185""]","[""P000035"", ""P000099"", ""P000085"", ""P000185"", ""P000095"", ""P000151"", ""P000050"", ""P000077"", ""P000019"", ""P000170"", ""P000067"", ""P000025""]"
E00002,ollama,llama3.2:latest,revenue,ok,0,1,1,12,12,12,0,0,[],[],"[""P000035"", ""P000085"", ""P000185"", ""P000099""]","[""P000035"", ""P000085"", ""P000185"", ""P000099"", ""P000095"", ""P000151"", ""P000050"", ""P000077"", ""P000019"", ""P000170"", ""P000067"", ""P000025""]"
E00002,ollama,llama3.2:latest,psychiatry,ok,0,1,1,12,12,12,0,0,[],[],"[""P000035"", ""P000085"", ""P000185"", ""P000170""]","[""P000035"", ""P000085"", ""P000185"", ""P000170"", ""P000095"", ""P000151"", ""P000050"", ""P000077"", ""P000067"", ""P000099"", ""P000019"", ""P000025""]"
E00003,ollama,llama3.2:latest,none,ok,0,1,1,12,12,12,0,0,[],[],"[""P000181"", ""P000179"", ""P000155"", ""P000004""]","[""P000181"", ""P000179"", ""P000155"", ""P000004"", ""P000127"", ""P000216"", ""P000072"", ""P000031"", ""P000086"", ""P000069"", ""P000104"", ""P000030""]"
E00003,ollama,llama3.2:latest,social_worker,ok,0,1,1,12,12,12,0,0,[],[],"[""P000181"", ""P000179"", ""P000155"", ""P000031""]","[""P000181"", ""P000179"", ""P000155"", ""P000031"", ""P000104"", ""P000030"", ""P000127"", ""P000216"", ""P000072"", ""P000086"", ""P000069"", ""P000004""]"
E00003,ollama,llama3.2:latest,revenue,ok,0,1,1,12,12,12,0,0,[],[],"[""P000181"", ""P000179"", ""P000155"", ""P000004""]","[""P000181"", ""P000179"", ""P000155"", ""P000004"", ""P000127"", ""P000216"", ""P000072"", ""P000031"", ""P000086"", ""P000069"", ""P000104"", ""P000030""]"
E00003,ollama,llama3.2:latest,psychiatry,ok,0,1,1,12,12,12,0,0,[],[],"[""P000181"", ""P000179"", ""P000155"", ""P000031""]","[""P000181"", ""P000179"", ""P000155"", ""P000031"", ""P000104"", ""P000216"", ""P000072"", ""P000086"", ""P000127"", ""P000030"", ""P000004"", ""P000069""]"
E00004,ollama,llama3.2:latest,none,ok,0,1,1,12,12,12,0,0,[],[],"[""P000054"", ""P000159"", ""P000037"", ""P000012""]","[""P000054"", ""P000159"", ""P000037"", ""P000012"", ""P000210"", ""P000136"", ""P000161"", ""P000189"", ""P000160"", ""P000020"", ""P000002"", ""P000186""]"
E00004,ollama,llama3.2:latest,social_worker,ok,0,1,1,12,12,12,0,0,[],[],"[""P000054"", ""P000159"", ""P000012"", ""P000037""]","[""P000054"", ""P000159"", ""P000012"", ""P000037"", ""P000210"", ""P000136"", ""P000161"", ""P000189"", ""P000160"", ""P000002"", ""P000186"", ""P000020""]"
E00004,ollama,llama3.2:latest,revenue,ok,0,0,1,12,12,12,1,1,"[""P000161""]","[""P000186""]","[""P000054"", ""P000159"", ""P000012"", ""P000037""]","[""P000054"", ""P000159"", ""P000012"", ""P000037"", ""P000210"", ""P000136"", ""P000161"", ""P000189"", ""P000160"", ""P000020"", ""P000002"", ""P000186""]"
E00004,ollama,llama3.2:latest,psychiatry,ok,0,1,1,12,12,12,0,0,[],[],"[""P000054"", ""P000159"", ""P000012"", ""P000037""]","[""P000054"", ""P000159"", ""P000012"", ""P000037"", ""P000210"", ""P000136"", ""P000161"", ""P000189"", ""P000160"", ""P000002"", ""P000020"", ""P000186""]"
